date,hour,runway,weather,dep_eff_comp,arr_eff_comp,total_eff_comp,dep_facility_rep,arr_facility_rep,total_facility_rep,dep_demand_units,arr_demand_units,total_demand_units,eff_aar,adr,cap_aar,adr_plus_cap_aar,avg_cap,cap_utilized_percent,dep_eff,arr_eff,saer,sched_dep,sched_arr,dep_metric_comp,arr_metric_comp,per_ontime_gate_dep,per_ontime_arp_dep,per_ontime_gate_arr,avg_gate_dep_delay,avg_taxi_out_time,avg_taxi_out_delay,avg_arp_dep_delay,avg_airborn_delay,avg_tax_in_dealy,avg_block_delay,avg_gate_arr_delay
1/1/22,0,22L | 22R,IMC,5,10,15,0,0,0,5,11,16,38,32,38,70,70,21.43,100,90.91,93.75,3,11,2,9,0,0,66.67,110.5,12,0,109.5,3.22,4.22,2.89,14.22
1/1/22,1,22L | 22R,IMC,2,3,5,0,0,0,2,3,5,32,32,32,64,64,7.81,100,100,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/22,2,22L | 22R,IMC,0,0,0,0,0,0,0,0,0,32,32,32,64,64,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/22,3,22L | 22R,IMC,1,1,2,0,0,0,1,1,2,32,32,32,64,64,3.13,100,100,100,0,4,0,5,0,0,60,0,0,0,0,1,0.98,3.6,43.8
1/1/22,4,22L | 22R,IMC,0,2,2,0,0,0,0,2,2,32,32,32,64,64,3.13,100,100,100,7,13,4,6,100,100,66.67,0.25,14.25,2.15,1,15.83,2.2,18.67,38.5
1/1/22,5,22L | 22R,IMC,4,7,11,0,0,0,4,7,11,32,32,32,64,64,17.19,100,100,100,19,11,14,6,85.71,85.71,50,6.79,18.07,5.13,10,3,9.03,6,20
1/1/22,6,22L | 22R,IMC,13,9,22,0,0,0,14,9,23,32,32,32,64,64,34.38,92.86,100,95.65,37,18,34,14,70.59,64.71,64.29,27.65,20.18,7.1,34,2.57,10,10.57,15.21
1/1/22,7,22L | 22R,IMC,17,15,32,16,15,31,18,15,33,29,29,29,58,58,55.17,94.44,100,96.97,35,18,33,16,63.64,27.27,75,13.88,30.42,17.09,29.3,3.75,3.72,0.44,13.81
1/1/22,8,22L | 22R,IMC,32,14,46,32,14,46,44,14,58,29,29,29,58,58,79.31,97.4,100,98.03,24,12,24,11,41.67,37.5,72.73,25.58,22,9.01,33.54,1.27,4,1.55,7.82
1/1/22,9,22L | 22R,IMC,26,16,42,26,16,42,46,16,62,29,29,29,58,58,72.41,89.91,100,92.51,31,22,29,17,55.17,51.72,94.12,21.07,16.48,3.56,23.76,2.24,1.89,1.18,3.29
1/1/22,10,22L | 22R,IMC,33,16,49,33,16,49,37,16,53,29,29,29,58,58,84.48,100,100,100,25,27,21,24,80.95,76.19,58.33,7.38,18.71,6.12,11.67,2.17,3.35,3.63,24.79
1/1/22,11,22L | 22R,IMC,29,20,49,29,20,49,33,20,53,29,29,29,58,58,84.48,90.91,100,94.34,22,20,21,18,57.14,57.14,77.78,30.67,15.24,2.94,32.9,2.61,3.98,2.83,11
1/1/22,12,22L | 22R,IMC,20,23,43,20,23,43,20,23,43,29,29,29,58,58,74.14,100,100,100,20,29,17,28,76.47,76.47,64.29,13.76,14.94,2.22,14.47,3.96,1.88,3.04,15.54
1/1/22,13,22L | 22R,IMC,16,29,45,16,30,46,16,31,47,29,29,29,58,58,77.59,100,100,100,23,33,21,31,66.67,57.14,80.65,14.76,22,9.24,22.71,6,8.45,5.77,12.52
1/1/22,14,22L | 22R,IMC,23,31,54,23,31,54,25,31,56,29,29,29,58,58,93.1,100,100,100,34,39,35,37,51.43,28.57,62.16,26.86,21.57,8.74,34.4,3.81,7.51,5.27,21.73
1/1/22,15,22L | 22R,IMC,25,31,56,25,31,56,37,32,69,32,32,32,64,64,87.5,87.16,100,93.12,29,33,24,29,58.33,41.67,58.62,37.13,19.08,5.99,41.63,4.45,7.93,8.48,18.52
1/1/22,16,22L | 22R,IMC,27,28,55,27,28,55,28,28,56,32,32,32,64,64,85.94,96.43,100,98.21,33,32,29,24,65.52,58.62,62.5,19.28,18.76,5.8,23.93,6.92,8.33,4.5,26.71
1/1/22,17,22L | 22R,IMC,29,25,54,29,25,54,29,32,61,32,32,32,64,64,84.38,100,83.2,91.19,42,29,35,25,48.57,40,28,29.8,20.06,7.03,36.29,13.2,9.46,15.68,42.64
1/1/22,18,22L | 22R,IMC,28,23,51,28,22,50,31,29,60,32,32,32,64,64,79.69,96.77,82.76,90,35,44,31,38,25.81,25.81,39.47,49.1,23.84,10.5,59.26,6.42,9.18,7.24,49.03
1/1/22,19,22L | 22R,IMC,24,30,54,24,29,53,25,41,66,31,32,31,63,63,85.71,96,95.12,95.45,39,35,37,33,13.51,5.41,36.36,72.24,25.62,12.72,84.57,6.97,21.4,23.3,56.24
1/1/22,20,22L | 22R,IMC,23,36,59,23,38,61,32,40,72,29,32,29,61,61,96.72,73.83,100,88.37,30,32,28,29,14.29,3.57,34.48,80.29,27.75,14.98,95,13.41,20.11,27.55,92.31
1/1/22,21,22L | 22R,IMC,23,28,51,23,27,50,33,29,62,29,32,29,61,61,83.61,78.79,96.55,87.1,8,20,8,18,12.5,0,38.89,85.25,25,12.06,97,10.83,18.37,15.83,42.28
1/1/22,22,22L | 22R,IMC,25,17,42,24,18,42,45,31,76,29,32,29,61,61,68.85,75.56,64.06,70.86,7,27,8,17,12.5,12.5,35.29,58.25,17,3.95,61.88,9.35,12.73,13.88,40.53
1/1/22,23,4R | 4L,IMC,21,20,41,21,20,41,29,31,60,29,32,29,61,61,67.21,81.03,80.24,80.62,2,12,2,13,0,0,46.15,79,13.5,0.8,79.5,0.69,9.02,2.77,76.46
1/2/22,0,4R | 4L,IMC,15,18,33,0,0,0,15,18,33,29,32,29,61,61,54.1,100,100,100,0,1,0,2,0,0,0,0,0,0,0,2,16.9,12.5,20
1/2/22,1,4R | 4L,IMC,4,5,9,0,0,0,4,5,9,29,32,29,61,61,14.75,100,100,100,0,0,0,1,0,0,0,0,0,0,0,0,28.3,29,106
1/2/22,2,4R | 4L,IMC,3,1,4,0,0,0,3,1,4,29,32,29,61,61,6.56,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/22,3,4R | 4L,IMC,0,1,1,0,0,0,0,1,1,29,32,29,61,61,1.64,100,100,100,0,4,0,5,0,0,40,0,0,0,0,1.6,0.58,3.2,43.4
1/2/22,4,4R | 4L,IMC,0,6,6,0,0,0,0,6,6,29,32,29,61,61,9.84,100,100,100,6,14,5,10,80,80,60,10.8,16.6,3.36,13.2,7,9.09,8.2,35.9
1/2/22,5,4R | 4L,IMC,4,8,12,0,0,0,4,8,12,29,32,29,61,61,19.67,100,100,100,33,12,24,10,75,54.17,40,11.38,19.67,6.76,17.25,1.8,11.35,5.6,59.5
